model,dataset,seed,qini,qini_ci_lower,qini_ci_upper,auuc,auuc_raw,auuc_normalized,uplift_at_10,uplift_at_20,uplift_at_30,overlap_ess_ratio,overlap_pct_below_clip,overlap_pct_above_clip
s_learner,hillstrom,42,0.002959545417899218,0.0005088462093760074,0.00540049517894519,0.20319225804910548,0.014519454873027906,0.20319225804910548,0.07271837533643259,0.07757678914563844,0.07943720597480869,0.9285136683625725,0.0,0.0
s_learner,hillstrom,43,0.0036595302686619896,0.0012990143737283254,0.006398050355407897,0.20207095821486065,0.014439330450479695,0.20207095821486065,0.05275854323133869,0.07884644472527312,0.07837887079247541,0.9215555633111062,0.0,0.0
s_learner,hillstrom,44,0.003425569658511606,0.0009496227291401963,0.005665222654983637,0.20966754278879826,0.014982157563921052,0.20966754278879826,0.049755620723362676,0.07724670431306707,0.0810473463899191,0.9293994584493669,0.0,0.0
t_learner,hillstrom,42,0.003169112833802735,0.0008492420513031391,0.005656283919083335,0.21348357932147025,0.015254839066464158,0.21348357932147025,0.10684261974584555,0.07881773399014777,0.07985803209709108,0.9285136683625725,0.0,0.0
t_learner,hillstrom,43,0.002649460935114886,0.00030721242710172016,0.005266895930818227,0.19301320325436291,0.013792092875275877,0.19301320325436291,0.06445564279854683,0.057806230162019315,0.06869778049489024,0.9215555633111062,0.0,0.0
t_learner,hillstrom,44,0.003068747484759023,0.00047853696677492726,0.005293294352854777,0.20781907011621625,0.014850071746226691,0.20781907011621625,0.06253928346951601,0.06985261822263433,0.08431250528525182,0.9293994584493669,0.0,0.0
x_learner,hillstrom,42,0.003743725274546741,0.0013682285371739587,0.005978001310907042,0.21813257169571001,0.015587040871940981,0.21813257169571001,0.08271807492480175,0.08902763212447869,0.08913210820187563,0.9285136683625725,0.0,0.0
x_learner,hillstrom,43,0.0032027162734617805,0.0007806482596512986,0.0057296628125827155,0.19995632185673054,0.014288225445448874,0.19995632185673054,0.09555060744560336,0.08589857347621324,0.07603181623070018,0.9215555633111062,0.0,0.0
x_learner,hillstrom,44,0.003138759354535791,0.0005571928060472168,0.0055628588411611125,0.20760375051931773,0.014834685711342964,0.20760375051931773,0.06290095446721955,0.06635788158466291,0.09058975821192614,0.9293994584493669,0.0,0.0
r_learner,hillstrom,42,0.0032137585057970992,0.0009317640265888617,0.0057782980807521015,0.21605820112590648,0.01543881312858414,0.21605820112590648,0.07844000352143676,0.08625245430834905,0.08246392896781353,0.9285136683625725,0.0,0.0
r_learner,hillstrom,43,0.0036733793946233887,0.0010889515726121334,0.0061130485075710575,0.2067997996947648,0.014777238012157454,0.2067997996947648,0.115625,0.1103870458135861,0.0917696409989594,0.9215555633111062,0.0,0.0
r_learner,hillstrom,44,0.0031679902078476773,0.0005470909435550269,0.005704906174702971,0.20859845198518012,0.014905763828119605,0.20859845198518012,0.05487572262816562,0.052440148902018396,0.0774807008413566,0.9293994584493669,0.0,0.0
dr_learner,hillstrom,42,0.003375497273713413,0.0008929739421480135,0.005955991998929181,0.21781283403755805,0.015564193463563723,0.21781283403755805,0.09489907682678766,0.07777137864892698,0.08436616348370818,0.9285136683625725,0.0,0.0
dr_learner,hillstrom,43,0.0033863920317065126,0.000897102012741878,0.005952198817851827,0.20547273485746162,0.014682410294783748,0.20547273485746162,0.08309881175734835,0.09137380191693292,0.07709985062622085,0.9215555633111062,0.0,0.0
dr_learner,hillstrom,44,0.003155246579975351,0.0004661952920150515,0.005445162840183542,0.20817839109170616,0.01487574764913091,0.20817839109170616,0.05081992876991118,0.06783953930994097,0.07592331994041487,0.9293994584493669,0.0,0.0
class_transformation,hillstrom,42,0.0022557595911215853,-8.743552131500626e-05,0.004417167829044189,0.20149836505543794,0.014398414814132796,0.20149836505543794,0.07901215194342823,0.07112068965517242,0.07813183298631281,0.9285136683625725,0.0,0.0
class_transformation,hillstrom,43,0.0010597435756308452,-0.0013791025806724267,0.0034077485791316545,0.16811256676485714,0.012012774749229575,0.16811256676485714,0.09192614614301362,0.05201177864340839,0.054953714744076135,0.9215555633111062,0.0,0.0
class_transformation,hillstrom,44,0.0014077008975934748,-0.0011954048061247448,0.0035049994719446084,0.18449562408133005,0.013183454496935667,0.18449562408133005,0.09357755078079137,0.057599062477111274,0.060413387277923045,0.9293994584493669,0.0,0.0
causal_forest,hillstrom,42,0.004353296143641095,0.002201299443427438,0.006638167240831897,0.22510776643454122,0.01608546549802376,0.22510776643454122,0.07597845109944368,0.08473212849251892,0.08701012817454293,0.9285136683625725,0.0,0.0
causal_forest,hillstrom,43,0.003885157412028672,0.0017244833571928766,0.0061339229578792195,0.20778460533129273,0.014847609005302354,0.20778460533129273,0.08252275479510918,0.1016969401438498,0.09059257621283663,0.9215555633111062,0.0,0.0
causal_forest,hillstrom,44,0.0037883286106710438,0.0016588016022395162,0.0062646264700463965,0.21197873079164076,0.01514730750729264,0.21197873079164076,0.048378111592177406,0.09032258064516129,0.09232770394779631,0.9293994584493669,0.0,0.0
